Soil_Type,Soil_Moisture,Temperature,Humidity,Crop_Type,Water_Needed_Per_Acre(Litres)
Loam,13.9,41.1,31.9,Barley,59816.19
Loam,24.8,34.8,80.4,Rice,101152.54
Silt,44.9,34.1,94.8,Maize,63975.23
Loam,32.4,19.3,80.2,Rice,97091.41
Loam,38.1,30.0,61.9,Groundnut,45042.96
Silt,43.0,41.5,67.9,Maize,66909.89
Sandy,61.4,40.3,61.8,Wheat,59102.43
Sandy,56.4,44.4,48.0,Barley,57042.89
Sandy,54.5,41.7,52.9,Groundnut,53214.26
Clay,70.9,19.6,52.7,Millet,30840.9
Sandy,56.4,28.6,90.0,Barley,50408.66
Clay,62.8,36.3,72.7,Millet,32486.02
Sandy,14.2,34.4,62.9,Millet,57171.43
Silt,79.0,27.9,55.4,Millet,36015.86
Clay,62.5,39.1,48.5,Maize,53731.42
Sandy,60.3,18.5,46.6,Cotton,85820.46
Clay,50.4,15.6,52.2,Cotton,63272.02
Loam,18.5,15.4,73.4,Rice,127305.06
Clay,46.3,34.0,59.4,Wheat,51091.82
Silt,26.2,38.4,51.8,Wheat,54894.44
Silt,22.5,32.2,64.5,Millet,41876.24
Clay,54.4,32.3,65.6,Sugarcane,82237.93
Loam,56.9,31.6,47.2,Wheat,42033.22
Silt,48.3,31.2,88.2,Pulses,41262.84
Sandy,66.5,36.9,93.5,Pulses,43577.73
Silt,40.7,38.3,69.9,Rice,97850.77
Loam,50.2,40.6,89.8,Barley,40810.53
Silt,42.0,24.4,39.8,Cotton,72924.61
Clay,19.2,18.7,73.0,Soybean,59739.37
Silt,60.0,33.7,56.1,Barley,41978.72
Sandy,34.9,15.4,49.9,Soybean,59772.0
Silt,22.7,20.7,90.0,Wheat,51744.27
Loam,54.4,20.0,35.2,Pulses,39226.38
Silt,66.1,40.0,43.5,Barley,45720.79
Loam,24.0,39.8,38.0,Sugarcane,102573.35
Clay,39.4,25.1,63.8,Wheat,43802.96
Sandy,39.4,38.4,56.6,Soybean,71474.27
Silt,49.3,25.2,45.2,Soybean,66982.71
Silt,22.5,17.7,36.7,Millet,54136.33
Sandy,72.0,25.8,61.4,Pulses,43766.19
Loam,16.7,19.2,91.1,Groundnut,45635.85
Sandy,22.1,17.5,54.6,Soybean,77361.5
Clay,20.6,26.9,31.6,Soybean,65718.79
Sandy,17.5,27.0,56.5,Wheat,72611.32
Loam,62.1,16.0,66.9,Pulses,32058.4
Silt,60.1,44.3,79.9,Maize,57506.39
Sandy,77.7,30.5,65.3,Maize,53063.14
Clay,14.6,39.8,93.4,Wheat,43514.15
Clay,57.0,31.1,85.0,Sugarcane,63281.58
Clay,20.1,21.8,53.7,Maize,68015.97
Loam,32.3,21.6,44.6,Groundnut,56363.07
Sandy,17.4,24.6,50.0,Wheat,77428.35
Loam,40.6,18.8,74.3,Wheat,51734.61
Sandy,46.9,27.0,80.8,Pulses,51993.51
Sandy,28.3,45.0,54.3,Rice,133561.06
Loam,31.8,38.9,87.4,Wheat,47982.15
Clay,40.7,15.4,30.8,Barley,47028.93
Clay,12.4,44.8,83.1,Pulses,43453.62
Silt,65.3,29.3,39.7,Sugarcane,95169.76
Clay,71.1,35.6,42.4,Soybean,45919.06
Clay,78.2,34.6,82.2,Millet,23314.42
Sandy,77.3,31.0,84.8,Soybean,42307.0
Silt,25.4,23.2,76.2,Soybean,57090.86
Silt,47.4,44.2,79.2,Groundnut,46271.55
Silt,23.7,40.9,74.4,Cotton,93905.82
Loam,63.4,35.5,78.5,Maize,54971.35
Sandy,71.8,37.8,63.9,Barley,49706.3
Silt,69.3,22.3,44.9,Groundnut,37820.03
Silt,21.3,38.7,86.6,Groundnut,48645.79
Loam,48.1,17.3,89.8,Groundnut,48927.41
Sandy,56.4,22.1,54.1,Millet,43593.09
Silt,40.5,44.6,64.9,Pulses,43569.82
Sandy,49.3,20.0,52.7,Millet,47593.56
Clay,75.9,40.0,60.1,Sugarcane,59707.61
Sandy,37.6,40.4,51.4,Maize,76522.1
Sandy,48.0,44.5,70.8,Pulses,45906.41
Silt,58.2,23.9,66.1,Soybean,56595.88
Loam,56.2,17.7,80.7,Soybean,45632.81
Sandy,16.0,34.6,59.9,Pulses,52289.8
Clay,21.6,43.0,56.3,Wheat,54913.92
Sandy,35.3,33.6,30.5,Maize,68259.15
Loam,36.4,23.1,55.3,Groundnut,43315.92
Clay,76.1,30.0,54.7,Sugarcane,70572.35
Silt,52.4,40.1,89.0,Groundnut,49736.26
Loam,42.3,17.1,70.9,Soybean,53289.09
Silt,60.8,42.1,32.7,Maize,59899.76
Sandy,63.8,15.0,89.4,Cotton,58139.16
Loam,26.9,44.6,39.5,Soybean,59506.1
Silt,39.0,24.3,92.2,Groundnut,43661.28
Loam,76.4,17.1,47.3,Barley,45848.48
Loam,71.5,41.1,60.3,Maize,54272.0
